Variable,Coefficient,Standard Error,Wald Statistic,p-value,Odds Ratio,OR CI 2.5%,OR CI 97.5%
Vitamin D,-0.8345651466202264,0.13716100670421288,37.02193885712004,1.168075514915533e-09,0.43406319424586803,0.3317426438325353,0.5679428318960301
Diabetes Mellitus (DM),1.2812283528662074,0.45625931319600865,7.885506549297576,0.004983251901889051,3.6010603827925425,1.4725219328262056,8.806412720542124
Comorbidity,-0.7159701583628585,0.32625070786581173,4.8160048688481565,0.028196627025616518,0.48871774811917834,0.25784161041292375,0.9263246414889327
Age,0.1729959531171638,0.15114844355313392,1.309979588852058,0.2523983509420086,1.188861293891932,0.8840430198267002,1.598780991892756
Visceral Fat Rating (VFR),-0.08678039128632091,0.14600481841583451,0.35327168597853303,0.5522669253553492,0.9168784280173472,0.6887034018288406,1.2206503547553078
const,0.035078191518988895,0.14958140396279665,0.05499449007319091,0.8145898155535249,1.0357006886436764,0.7725210873788344,1.3885393343715406
